Demand,Inventory,Workers,Working_Hours,Raw_Material,Production
1260,130,26,9.9,553,1105
1495,293,14,10.6,1570,1452
1444,82,38,8.2,1226,1425
521,89,13,6.4,1188,764
866,137,19,6.5,1622,1106
730,34,26,6.6,1543,1039
487,132,19,11.0,918,809
1271,225,26,11.5,1189,1333
530,291,29,6.7,1349,802
1169,76,33,7.4,561,1058
743,173,14,7.0,1668,962
1205,298,43,7.1,715,1188
785,153,15,11.0,502,819
1355,135,11,8.0,659,1142
676,187,22,7.9,1280,881
859,176,20,7.4,1643,1081
421,174,32,9.6,1392,916
652,149,25,8.3,1612,1027
1147,121,40,10.5,828,1236
1256,87,20,7.2,1079,1155
874,258,25,10.7,1790,1250
1482,146,17,9.6,1451,1445
910,156,13,6.7,1134,961
1099,158,49,8.5,1487,1342
1375,87,13,11.2,1718,1465
589,151,34,11.5,1420,1041
1357,30,12,8.8,1237,1244
1086,268,41,8.9,669,1092
1357,125,12,11.5,1020,1262
962,155,36,9.5,539,1029
1231,147,38,6.2,1784,1351
1046,77,41,11.5,1454,1364
420,118,28,7.5,1749,905
1240,266,30,9.5,1483,1347
566,218,14,7.0,1647,898
787,221,27,6.2,1474,1013
1000,98,37,7.9,537,1027
715,276,31,10.7,827,882
413,105,30,7.7,1774,981
641,183,15,7.3,1699,943
1176,173,10,7.3,1413,1122
964,115,14,9.1,953,990
1297,214,50,11.9,536,1240
491,249,21,8.8,1472,875
1355,98,35,9.3,1295,1403
908,76,43,11.2,1472,1322
1175,123,23,9.2,1092,1209
434,267,35,7.1,1637,876
605,233,36,7.8,1563,991
1425,247,18,7.9,723,1176
1421,68,35,8.4,817,1336
965,129,31,8.6,848,1074
1102,283,39,10.8,614,1144
801,251,26,8.1,1197,979
1129,52,35,8.8,1563,1361
561,279,45,9.7,539,838
601,39,10,8.3,1785,977
1395,275,17,11.0,715,1205
669,129,44,9.5,1670,1161
1215,209,24,7.8,835,1097
855,252,31,10.3,1691,1204
1416,279,23,9.2,591,1152
695,176,35,9.2,852,915
1119,125,37,8.9,1070,1195
737,286,32,9.0,1315,1012
1278,33,23,10.6,1280,1354
1476,45,33,6.6,862,1300
1191,276,11,8.0,1056,1079
616,287,35,6.5,1693,1013
1163,189,23,10.5,855,1151
587,181,16,7.6,690,687
779,207,12,11.4,921,932
892,192,32,9.2,1199,1043
1464,62,27,10.8,506,1343
414,208,47,11.9,632,795
464,130,44,11.0,1056,943
920,297,24,11.2,1325,1098
1047,94,34,8.4,1260,1226
1486,197,46,9.3,1554,1589
992,72,37,7.5,1034,1108
791,73,19,7.2,925,917
818,41,48,9.0,1171,1150
688,124,26,9.6,862,904
778,282,48,8.0,581,893
630,271,31,9.4,855,848
1417,64,35,11.3,1781,1662
440,244,34,9.3,1088,845
1451,119,26,10.3,794,1316
534,293,22,10.8,1747,986
600,122,29,11.9,1569,1082
1179,119,34,9.6,1636,1400
1329,144,13,10.8,1756,1433
1456,134,19,11.8,516,1207
1471,225,12,11.7,859,1289
902,143,50,6.8,1746,1262
806,104,27,8.4,1365,1107
1204,246,45,7.9,1199,1276
498,278,31,6.5,947,747
1083,193,43,9.8,1355,1331
1125,221,17,10.4,864,1077
1360,256,49,11.1,1174,1465
1012,206,28,6.7,1507,1202
1042,128,50,11.3,966,1279
1428,65,46,9.9,913,1437
902,125,15,10.2,1085,979
1166,181,35,11.5,1756,1425
797,180,43,9.7,1747,1274
1270,219,15,8.0,1493,1277
1194,253,46,11.0,1071,1341
792,66,42,8.2,834,1020
606,297,31,6.2,1745,1021
1438,212,30,11.0,536,1245
1291,42,15,8.1,1488,1313
1263,246,15,10.6,777,1100
1142,91,13,8.2,1719,1236
963,113,39,11.2,1415,1238
1420,246,20,7.3,983,1201
495,216,39,11.8,1765,1140
884,48,40,10.7,1230,1159
630,206,33,6.7,691,769
1148,129,18,9.4,1540,1236
940,262,12,11.9,1023,1003
1459,105,40,8.8,1417,1515
924,294,49,7.1,900,1043
977,235,46,8.9,1385,1271
1081,252,45,9.1,1204,1290
956,81,33,10.5,521,958
1412,173,40,10.2,973,1372
1045,98,15,8.4,1643,1210
1195,128,11,7.3,709,1038
1451,54,29,9.9,805,1320
589,82,37,8.5,1793,1110
1032,180,20,6.8,1203,1039
1027,173,13,11.4,1186,1081
1372,86,24,10.1,784,1291
1109,68,15,10.1,1215,1131
1048,138,39,10.9,1262,1335
717,210,47,9.2,1750,1226
1083,71,11,10.9,1447,1233
