Demand,Inventory,Workers,Working_Hours,Raw_Material,Production
1943,380,72,6.4,2157,2759.0
1253,205,36,7.9,509,1643.0
1697,414,55,8.4,842,2240.0
1071,139,73,6.2,1077,1846.0
596,480,53,8.0,584,1315.0
584,243,12,7.0,2347,1236.0
1399,317,53,7.8,1920,2183.0
1251,148,49,9.7,1324,1969.0
1502,463,79,10.1,1901,2562.0
620,145,24,10.7,1701,1412.0
1675,146,64,9.1,1168,2353.0
811,67,46,9.3,2498,1804.0
1418,190,52,11.4,976,2072.0
1997,305,15,11.7,1754,2398.0
1079,202,21,11.7,722,1546.0
727,94,35,9.7,1611,1499.0
1498,303,61,9.4,1635,2316.0
1633,268,24,7.9,2049,2130.0
1112,216,57,10.3,1371,1982.0
1001,447,62,8.4,2227,2088.0
557,67,21,10.9,1361,1247.0
1781,497,59,6.8,1864,2495.0
1538,314,56,8.2,1944,2301.0
620,409,41,6.9,1669,1457.0
859,371,72,11.4,2365,2184.0
1432,299,17,7.7,1964,1919.0
1873,326,42,8.0,1980,2435.0
1863,197,32,11.0,2060,2484.0
1620,456,47,8.4,1143,2183.0
830,486,25,8.4,885,1373.0
920,389,66,10.2,911,1819.0
989,441,58,10.8,651,1763.0
787,206,33,8.6,1461,1468.0
1414,54,17,11.9,1318,1872.0
1596,313,47,6.3,1953,2212.0
977,221,41,10.3,2356,1919.0
830,267,60,9.0,1021,1673.0
586,218,43,11.3,2411,1668.0
1254,469,59,7.8,1546,2064.0
1668,360,41,7.2,1934,2277.0
1511,325,66,9.5,2139,2461.0
1852,76,77,7.9,1404,2562.0
935,410,73,8.0,2068,2061.0
518,290,20,6.6,1817,1193.0
1809,387,32,8.0,638,2060.0
640,82,10,7.2,2107,1248.0
959,115,68,9.3,1628,1939.0
1836,260,66,11.6,1261,2598.0
805,354,12,11.1,2030,1563.0
1245,374,28,9.4,1725,1897.0
1022,122,52,6.8,2054,1857.0
1391,424,69,10.3,770,2158.0
1128,480,72,7.3,2374,2256.0
1466,386,44,10.0,1086,2068.0
1033,174,31,9.4,614,1489.0
1450,142,37,11.4,1573,2141.0
961,343,12,10.0,2497,1718.0
1839,401,25,11.6,1822,2381.0
873,142,71,7.3,1497,1813.0
1733,455,34,8.7,1515,2229.0
1759,80,52,8.4,955,2215.0
1923,369,66,10.3,1956,2779.0
1628,446,14,7.5,608,1785.0
1773,449,11,6.4,1133,1945.0
965,134,46,11.6,2185,1941.0
1876,110,67,11.6,1768,2710.0
1261,190,59,9.6,1812,2147.0
1239,368,69,6.6,675,1916.0
601,375,67,6.3,1909,1643.0
525,62,67,9.7,2021,1707.0
521,424,67,10.6,1668,1685.0
1596,405,32,7.1,2345,2244.0
1054,199,57,8.9,893,1772.0
964,464,78,10.7,2491,2295.0
621,497,27,6.4,1096,1214.0
531,244,49,10.8,1511,1531.0
1771,260,18,11.5,2071,2341.0
1434,376,27,8.6,851,1807.0
522,161,63,7.4,1619,1485.0
1153,115,65,8.3,2357,2129.0
722,234,52,8.4,2324,1753.0
1209,362,77,7.3,2343,2279.0
1528,182,34,7.9,2045,2113.0
1308,81,34,8.8,639,1730.0
945,318,75,11.4,1944,2134.0
1359,57,67,10.8,1104,2133.0
540,122,65,9.1,607,1392.0
664,371,15,6.7,1377,1189.0
694,399,66,8.9,1792,1774.0
984,395,48,9.4,1596,1813.0
908,219,75,8.3,2305,2056.0
1734,204,65,7.9,923,2302.0
1365,411,73,7.6,1105,2154.0
909,290,10,7.5,2096,1479.0
1758,483,15,11.5,2481,2402.0
926,372,49,11.0,817,1706.0
984,479,34,11.7,842,1658.0
1386,350,52,11.4,630,2020.0
658,418,45,6.3,1438,1419.0
834,101,55,7.2,555,1435.0
1133,247,52,8.1,1081,1759.0
1111,263,23,6.5,914,1461.0
1671,165,78,11.5,1807,2687.0
1599,141,53,6.2,1335,2121.0
1856,291,20,6.4,1505,2096.0
667,234,56,7.2,2373,1704.0
1482,284,44,9.5,913,2012.0
889,210,38,6.9,2404,1744.0
1701,299,47,11.0,976,2267.0
1870,310,56,6.8,2137,2551.0
1505,66,68,9.4,2323,2491.0
1041,328,22,8.3,1207,1521.0
974,463,53,9.0,2293,1978.0
1836,143,40,10.1,2291,2520.0
905,368,17,7.0,961,1320.0
1241,455,72,6.8,1577,2121.0
1851,218,39,8.4,941,2214.0
1283,110,71,9.4,2220,2317.0
1327,435,12,8.1,2371,1905.0
911,346,40,10.0,1723,1746.0
1944,408,65,9.4,1092,2602.0
1124,416,44,10.4,1717,1973.0
698,423,28,6.7,893,1197.0
589,345,54,9.1,604,1376.0
714,162,63,8.8,1115,1615.0
1467,80,11,8.7,1751,1842.0
638,332,77,10.6,1595,1843.0
1092,270,59,8.0,1232,1810.0
1112,294,53,11.6,1914,2092.0
1750,200,61,7.3,844,2239.0
760,54,21,8.2,1549,1340.0
589,391,62,8.7,2426,1798.0
627,330,12,6.7,2100,1254.0
1150,410,17,8.0,2050,1738.0
1623,125,26,6.4,1295,1933.0
1652,383,23,11.1,1671,2214.0
1429,337,31,6.5,1262,1872.0
1694,461,12,8.9,853,1964.0
1391,83,52,8.2,2005,2123.0
1082,428,73,7.5,2302,2214.0
1267,245,41,10.4,1001,1904.0
1043,411,41,8.0,1776,1808.0
1895,292,17,6.0,534,1904.0
700,220,31,12.0,710,1388.0
510,447,36,11.5,1958,1554.0
1897,165,20,9.9,519,2052.0
1733,266,35,8.2,573,2084.0
1376,327,75,6.5,523,1994.0
1491,212,20,9.8,2123,2053.0
1369,364,68,7.0,1544,2141.0
1160,435,19,8.5,636,1501.0
1434,370,30,6.6,1843,1973.0
604,104,26,10.6,2343,1558.0
837,292,40,11.6,2413,1875.0
862,265,61,9.9,1631,1841.0
840,432,70,6.7,1612,1794.0
629,84,53,8.3,1795,1537.0
1522,62,74,11.2,1069,2362.0
1786,446,27,6.9,1204,2092.0
1336,171,49,6.5,545,1755.0
1702,129,64,9.7,1596,2471.0
1550,319,72,11.4,1910,2577.0
1008,473,14,11.1,1524,1635.0
1458,119,36,10.4,755,1906.0
1013,211,62,6.0,1262,1769.0
1072,201,14,8.9,1852,1639.0
1254,393,61,8.4,2491,2314.0
1464,194,53,8.0,1330,2067.0
948,323,68,7.1,2421,1995.0
739,309,53,11.8,636,1570.0
1958,95,16,10.1,2248,2397.0
901,362,17,9.0,1314,1420.0
1075,485,59,6.9,667,1702.0
908,183,55,10.1,913,1661.0
1166,352,74,10.7,1181,2130.0
1627,200,20,9.5,1150,1991.0
1537,151,53,10.5,2199,2430.0
1072,113,12,7.2,590,1269.0
1488,77,73,7.1,2461,2459.0
1475,163,66,10.3,2045,2426.0
559,98,72,7.4,576,1360.0
559,180,27,8.4,2289,1407.0
660,180,45,10.9,2052,1701.0
785,66,78,10.0,2257,2019.0
1287,76,22,11.1,1834,1902.0
1933,127,74,7.7,1570,2686.0
954,74,73,6.4,869,1738.0
1835,417,32,10.6,563,2207.0
1909,106,46,7.1,1520,2370.0
1582,80,32,11.7,1834,2247.0
1901,493,13,7.4,1668,2210.0
941,153,38,6.7,906,1463.0
921,418,24,6.5,1004,1393.0
1034,209,11,6.6,2336,1595.0
1373,461,38,10.9,972,1946.0
937,452,18,7.0,2016,1589.0
809,274,36,6.1,2063,1597.0
1535,399,79,6.8,1210,2330.0
1489,213,62,11.9,1163,2344.0
788,313,41,11.2,1313,1637.0
988,352,45,9.8,2131,1912.0
982,335,37,11.7,1107,1692.0
592,425,10,10.6,2430,1459.0
1271,403,62,6.4,859,1902.0
968,160,40,7.8,2168,1793.0
1340,184,54,10.5,2329,2315.0
1060,257,50,6.3,1630,1789.0
970,145,49,9.3,517,1585.0
1035,318,62,11.0,2363,2204.0
1828,52,25,10.3,839,2096.0
1619,282,70,9.6,2040,2552.0
1964,245,41,7.6,1688,2425.0
761,363,45,9.4,1460,1623.0
829,119,63,11.2,1131,1718.0
725,457,65,9.2,1541,1761.0
957,159,24,8.7,1373,1526.0
1859,92,37,8.4,2211,2423.0
1257,427,72,6.5,627,1937.0
1039,467,46,8.6,1955,1866.0
1839,226,74,10.3,1195,2587.0
1305,399,39,11.5,2225,2202.0
1844,270,77,12.0,2069,2905.0
1888,152,50,11.5,1485,2516.0
1148,210,52,7.2,1208,1794.0
692,71,72,10.9,1614,1796.0
1206,468,58,8.5,2214,2163.0
1315,490,42,6.4,535,1720.0
1836,420,22,6.2,579,1947.0
1167,379,46,11.8,638,1837.0
589,355,73,7.7,1838,1701.0
801,415,25,11.1,2380,1728.0
1350,206,30,11.5,1292,1924.0
542,270,18,6.2,1158,1057.0
1101,188,21,10.6,1591,1722.0
608,324,31,11.3,824,1322.0
1822,95,79,10.5,616,2504.0
1575,215,64,7.2,696,2124.0
980,388,68,6.6,1328,1876.0
854,264,45,7.6,2173,1701.0
1155,399,49,9.4,520,1736.0
1469,479,66,8.2,1437,2283.0
1444,488,74,7.4,672,2151.0
963,126,51,10.3,1550,1830.0
893,372,49,7.9,1593,1724.0
700,93,39,7.6,659,1260.0
1897,444,47,6.5,525,2176.0
1532,345,16,9.8,2390,2109.0
807,59,25,7.3,971,1276.0
1916,120,41,6.8,1710,2393.0
1682,431,61,7.7,1114,2296.0
1263,401,72,7.1,2474,2323.0
778,139,19,7.6,2496,1514.0
821,238,24,6.4,1548,1355.0
1304,155,44,6.6,1235,1800.0
1526,211,15,8.7,1071,1810.0
1961,493,18,6.9,1640,2271.0
1671,355,55,6.3,720,2103.0
869,143,41,11.0,1516,1712.0
1330,367,76,10.7,1598,2346.0
849,269,62,9.8,2377,2013.0
693,315,77,8.8,2045,1897.0
1747,388,51,7.9,1815,2427.0
1723,371,48,10.8,2472,2587.0
1379,84,27,11.8,624,1752.0
1650,411,42,9.1,1262,2229.0
1996,105,39,9.9,1216,2408.0
1066,137,53,9.0,886,1772.0
