Demand,Inventory,Workers,Working_Hours,Raw_Material,Production
1844,227,56,7.4,2398,2575.0
755,156,46,6.4,985,1404.0
777,378,37,10.8,2153,1733.0
558,309,29,11.8,1988,1556.0
516,446,33,10.4,1066,1295.0
807,154,48,6.9,2172,1682.0
1157,143,61,10.6,2240,2187.0
1711,82,49,11.4,995,2294.0
1378,365,78,9.1,1591,2389.0
1938,80,14,6.6,813,1976.0
1355,148,60,8.0,2268,2261.0
820,114,72,7.2,2380,1961.0
1303,259,31,10.8,531,1741.0
1958,339,13,8.5,590,2026.0
879,294,13,8.5,2117,1514.0
959,303,50,7.6,848,1601.0
1613,157,58,11.9,1548,2434.0
1973,303,46,11.3,1398,2582.0
1891,223,25,7.9,1446,2213.0
1343,469,36,7.2,2327,2065.0
1206,131,30,6.7,732,1562.0
727,469,69,7.7,2343,1889.0
632,277,71,10.0,928,1629.0
1304,329,29,10.6,2159,2042.0
740,174,58,8.7,1019,1573.0
1385,292,32,10.7,1460,1994.0
1228,175,45,11.7,969,1909.0
1187,296,70,6.3,1572,2060.0
532,219,17,7.0,2302,1244.0
1214,139,72,10.1,1193,2120.0
816,426,17,6.8,1557,1390.0
1380,203,22,11.4,822,1836.0
573,54,78,6.2,617,1363.0
804,314,22,11.6,1593,1557.0
1900,91,62,8.3,951,2410.0
1040,127,15,10.4,1480,1586.0
573,309,67,6.1,1097,1442.0
635,417,22,11.0,1990,1482.0
1329,387,66,9.8,1605,2230.0
584,408,19,6.8,2010,1268.0
803,71,44,10.4,1081,1529.0
681,460,39,7.4,2457,1644.0
1783,465,57,10.9,2099,2686.0
1430,493,49,7.0,2155,2241.0
669,253,76,11.3,1571,1853.0
991,495,49,10.0,1700,1895.0
1421,122,54,7.5,2063,2180.0
913,81,54,11.9,1658,1866.0
996,413,78,11.7,1969,2210.0
618,225,13,10.7,2375,1432.0
910,244,48,8.4,928,1606.0
1193,342,51,7.7,1158,1858.0
732,83,53,11.7,2248,1873.0
1198,100,48,7.3,1062,1791.0
1531,251,74,6.4,2243,2460.0
1623,307,46,6.3,739,2016.0
1130,78,42,9.2,1138,1757.0
1319,162,29,6.3,1601,1791.0
1430,79,49,7.2,1653,2072.0
930,329,58,8.0,1062,1663.0
1630,389,72,7.5,1023,2318.0
552,182,37,8.1,2163,1415.0
1670,77,48,6.3,2310,2328.0
1291,290,27,7.2,2456,1986.0
887,279,70,7.2,1305,1783.0
1292,455,70,10.1,2349,2424.0
1831,245,45,6.7,863,2187.0
1786,220,35,7.0,1176,2125.0
1905,383,76,9.2,2343,2858.0
1184,390,34,7.8,1347,1776.0
1867,344,50,11.3,2223,2699.0
1816,110,27,10.9,2264,2427.0
1353,400,53,10.1,1987,2226.0
1026,109,34,8.5,906,1554.0
1607,96,75,12.0,1727,2598.0
1609,322,60,9.6,739,2211.0
1564,276,42,11.1,1529,2222.0
1991,198,24,8.4,1043,2238.0
1394,145,11,10.4,1497,1808.0
